county_x,staffed_all_beds,staffed_icu_beds,licensed_all_beds,all_bed_occupancy_rate,icu_bed_occupancy_rate,population,population_20,population_65,staffed_all_beds_[per_1000_people],staffed_all_beds_[per_1000_adults_20+],staffed_all_beds_[per_1000_elderly_65+],staffed_icu_beds_[per_1000_people],staffed_icu_beds_[per_1000_adults_20+],staffed_icu_beds_[per_1000_elderly_65+],licensed_all_beds_per_1000_people,licensed_all_beds_[per_1000_adults_20+],licensed_all_beds_[per_1000_elderly_65+],state,cases,deaths
Allen,25.0,0.0,25.0,0.75,0.0,21122.0,15781.0,3725.0,1.1840000000000002,1.584,6.711,0.0,0.0,0.0,1.1840000000000002,1.584,6.711,Kentucky,5.0,0.0
Allen,74.0,3.0,109.0,0.16,0.15,25605.0,19420.0,3844.0,2.89,3.8110000000000004,19.250999999999998,0.11699999999999999,0.154,0.78,4.257,5.6129999999999995,28.355999999999998,Louisiana,80.0,9.0
Allen,529.0,62.0,816.0,0.53,0.6,102663.0,75917.0,18117.0,5.153,6.968,29.199,0.604,0.8170000000000001,3.4219999999999997,7.9479999999999995,10.749,45.041000000000004,Ohio,94.0,12.0
Allendale,25.0,0.0,25.0,0.17,0.0,8903.0,7035.0,1790.0,2.8080000000000003,3.554,13.966,0.0,0.0,0.0,2.8080000000000003,3.554,13.966,South Carolina,6.0,0.0
Alpena,128.0,9.0,128.0,0.34,0.47,28360.0,22526.0,6647.0,4.513,5.682,19.257,0.317,0.4,1.354,4.513,5.682,19.257,Michigan,38.0,1.0
Amador,52.0,6.0,52.0,0.49,0.64,39383.0,32821.0,10633.0,1.32,1.584,4.89,0.152,0.183,0.564,1.32,1.584,4.89,California,7.0,0.0
Amite,16.0,0.0,25.0,0.54,0.0,12326.0,9550.0,2896.0,1.298,1.675,5.525,0.0,0.0,0.0,2.028,2.6180000000000003,8.633,Mississippi,20.0,1.0
Anchorage,979.0,73.0,1149.0,0.66,0.71,291538.0,213508.0,32333.0,3.358,4.585,30.279,0.25,0.342,2.258,3.9410000000000003,5.382000000000001,35.536,Alaska,164.0,4.0
Anderson,12.0,0.0,12.0,0.39,0.0,7878.0,5708.0,1676.0,1.5230000000000001,2.102,7.16,0.0,0.0,0.0,1.5230000000000001,2.102,7.16,Kansas,1.0,0.0
Anderson,558.0,40.0,793.0,0.72,0.83,200482.0,149752.0,36185.0,2.783,3.7260000000000004,15.421,0.2,0.267,1.105,3.955,5.295,21.915,South Carolina,135.0,5.0
Anderson,204.0,25.0,301.0,0.61,0.85,76482.0,58897.0,15356.0,2.667,3.464,13.285,0.327,0.424,1.6280000000000001,3.9360000000000004,5.111000000000001,19.601,Tennessee,22.0,1.0
Anderson,116.0,10.0,226.0,0.45,0.58,58057.0,45801.0,8591.0,1.9980000000000002,2.533,13.503,0.172,0.218,1.1640000000000001,3.8930000000000002,4.934,26.307,Texas,14.0,0.0
Andrews,30.0,0.0,34.0,0.18,0.0,18128.0,12092.0,1878.0,1.655,2.481,15.974,0.0,0.0,0.0,1.876,2.812,18.104,Texas,19.0,0.0
